1,New Orleans,10.7,15.3,18,12.2,9.1,7.1
2,NY Giants,9.9,10.3,7,7.3,12.2,4.4
3,Detroit,8.7,7,7,9.5,8,7.3
4,New England,8.4,10.3,7,9.3,7.4,7.8
5,Green Bay,7.7,9.3,7,8.1,7.3,5.4
6,Dallas,7.4,4.7,7,8.9,6,6.9
7,NY Jets,7.4,6.7,7,7.5,7.3,7.3
8,San Francisco,7.1,8.7,3,8.5,5.4,6.1
9,Seattle,7,10.3,10,5.5,8.5,6.9
10,Arizona,6.9,9.7,3,7.6,6.3,5.9
10,Buffalo,6.9,11,0,11.1,2.8,5.6
12,Cincinnati,6.8,2,0,4.3,9.1,7.4
13,Denver,6.7,1,0,6.9,6.6,7.5
14,Indianapolis,6.2,9,7,5,7.4,7.9
15,Las Vegas,6.1,6.7,7,5,7.1,7.6
16,Houston,6,5.3,0,5.9,6.1,8
17,Tampa Bay,5.8,4,6,5.4,6.1,6.3
18,Tennessee,5.7,5.7,7,5.4,6,6.4
19,Atlanta,5.5,2,0,6.4,4.7,6.9
20,Baltimore,5.4,3.3,0,5.1,5.8,5
21,LA Chargers,5.3,3.3,7,5,5.6,8.1
22,Minnesota,5.3,5.7,0,6.3,4.3,3.8
23,Carolina,5.2,4.7,0,5.3,5.1,2.6
24,Washington,5.1,4,3,6.6,3.6,5.3
25,Philadelphia,5.1,10.3,21,5.6,4.5,8.5
26,Pittsburgh,4.8,8,10,6.3,3.6,7.1
27,Cleveland,4.6,2.3,0,3.9,5.4,4.1
28,Miami,4.3,10,13,4.9,3.6,4.3
28,Kansas City,4.3,5.7,0,4.6,3.9,5.5
30,Chicago,4.1,4.7,3,2.5,5.8,4.9
30,Jacksonville,4.1,5.7,3,4,4.3,5.9
32,LA Rams,3.8,8,17,6.4,1.3,4.1
