1,Atlanta,9.6,10.7,6,7.3,11.9,8.6
2,Dallas,8.8,8.7,10,8.1,9.4,7.7
3,Baltimore,8.5,9.3,6,8.8,8.1,5.9
4,Tennessee,8.4,4.3,7,7.9,8.7,6.3
5,Houston,7.5,3.7,0,8.9,6.1,6.9
6,Arizona,7.4,8,7,8.4,6.5,4.5
7,Seattle,7.3,6.7,6,10.3,5,9.2
8,Jacksonville,7.3,11.3,14,6.4,7.9,3.9
9,Tampa Bay,7.1,4.7,0,3.7,9.7,7.1
10,San Francisco,6.9,2,0,8.5,5.2,3.8
11,Kansas City,6.6,15,21,5.9,7.4,9
12,Buffalo,6.6,2,3,6.8,6.4,4.6
13,LA Rams,6.5,10.3,14,7.9,5.4,6.8
14,New Orleans,6.4,5.7,10,7,5.8,9.3
15,Carolina,6.3,4.7,0,6.5,6.1,7
16,Philadelphia,6.1,5.7,0,4.6,7.8,6.7
17,Minnesota,6.1,4.3,0,6.5,5.7,7.3
18,LA Chargers,5.9,3.3,7,5.1,6.4,6.9
19,New England,5.8,6,0,4.9,6.8,7.6
20,Cincinnati,5.6,12,10,5.5,5.8,7.4
21,Indianapolis,5.5,7,0,6.9,4.1,7.3
21,Las Vegas,5.5,5,12,4.7,6.1,5.3
23,Washington,5.4,9,0,7.5,3.4,6.1
23,Detroit,5.4,3.3,3,5.8,5.1,6
23,Cleveland,5.4,6.7,7,5.5,5.4,6.9
26,Green Bay,5.4,8.7,13,2.6,8.2,6
27,Miami,5.3,8,10,4.9,5.8,5.6
28,NY Jets,5.3,9,10,2.8,7.8,4.9
29,NY Giants,3.6,4.3,0,3.8,3.5,7.3
30,Pittsburgh,3.6,0,0,5.1,2,5.7
30,Denver,3.6,5.7,3,5.5,1.6,5.6
32,Chicago,3.4,4.3,3,2.8,4.1,7.4
