Rk,Team,Date,TD,Day,G#,Week,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C
463,WAS,2013-12-15,3,Sun,14,15,@,ATL,L 26-27,29,45,16,64.4,373,3,2,6.7,4.4,94.8,1,8,2.17,8.3,8.11,7.62,7.46,12.9
464,DAL,2013-12-09,3,Mon,13,14,@,CHI,L 28-45,14,25,11,56.0,130,3,0,12.0,0.0,112.3,2,14,7.41,5.2,4.81,7.60,7.04,9.3
465,CLE,2013-12-08,3,Sun,13,14,@,NWE,L 26-27,29,44,15,65.9,386,3,0,6.8,0.0,116.8,1,5,2.22,8.8,8.58,10.14,9.91,13.3
466,MIA,2013-12-08,3,Sun,13,14,@,PIT,W 34-28,20,33,13,60.6,186,3,1,9.1,3.0,95.5,2,14,5.71,5.6,5.31,6.09,5.74,9.3
467,ARI,2013-12-01,3,Sun,12,13,@,PHI,L 21-24,24,41,17,58.5,260,3,2,7.3,4.9,85.6,5,42,10.87,6.3,5.65,5.61,5.00,10.8
468,JAX,2013-12-01,3,Sun,12,13,@,CLE,W 32-28,23,41,18,56.1,202,3,1,7.3,2.4,83.7,2,1,4.65,4.9,4.70,5.29,5.05,8.8
469,SFO,2013-11-25,3,Mon,11,12,@,WAS,W 27-6,15,24,9,62.5,228,3,0,12.5,0.0,134.5,2,7,7.69,9.5,8.77,12.00,11.08,15.2
470,SDG,2013-11-24,3,Sun,11,12,@,KAN,W 41-38,27,39,12,69.2,387,3,0,7.7,0.0,127.3,1,5,2.50,9.9,9.68,11.46,11.18,14.3
471,OAK,2013-11-17,3,Sun,10,11,@,HOU,W 28-23,18,32,14,56.3,176,3,0,9.4,0.0,105.9,2,21,5.88,5.5,5.18,7.38,6.94,9.8
472,DET,2013-11-10,3,Sun,9,10,@,CHI,W 21-19,18,35,17,51.4,219,3,1,8.6,2.9,87.7,0,0,0.00,6.3,6.26,6.69,6.69,12.2
473,HOU,2013-11-10,3,Sun,9,10,@,ARI,L 24-27,22,43,21,51.2,159,3,0,7.0,0.0,87.5,3,42,6.52,3.7,3.46,5.09,4.76,7.2
474,PHI,2013-11-10,3,Sun,10,10,@,GNB,W 27-13,12,18,6,66.7,211,3,0,16.7,0.0,149.3,3,17,14.29,11.7,10.05,15.06,12.90,17.6
475,WAS,2013-11-07,3,Thu,9,10,@,MIN,L 27-34,24,37,13,64.9,242,3,0,8.1,0.0,114.8,4,39,9.76,6.5,5.90,8.16,7.37,10.1
476,IND,2013-11-03,3,Sun,8,9,@,HOU,W 27-24,18,40,22,45.0,245,3,0,7.5,0.0,92.8,4,26,9.09,6.1,5.57,7.63,6.93,13.6
477,TAM,2013-11-03,3,Sun,8,9,@,SEA,L 24-27 (OT),18,24,6,75.0,145,3,0,12.5,0.0,133.7,3,25,11.11,6.0,5.37,8.54,7.59,8.1
478,DAL,2013-10-27,3,Sun,8,8,@,DET,L 30-31,14,30,16,46.7,206,3,0,10.0,0.0,102.9,0,0,0.00,6.9,6.87,8.87,8.87,14.7
479,CIN,2013-10-20,3,Sun,7,7,@,DET,W 27-24,24,34,10,70.6,364,3,0,8.8,0.0,135.9,1,8,2.86,10.7,10.40,12.47,12.11,15.2
480,DEN,2013-10-20,3,Sun,7,7,@,IND,L 33-39,29,49,20,59.2,365,3,1,6.1,2.0,96.1,4,21,7.55,7.4,6.89,7.76,7.17,12.6
481,SEA,2013-10-17,3,Thu,7,7,@,ARI,W 34-22,18,29,11,62.1,209,3,0,10.3,0.0,122.1,3,26,9.38,7.2,6.53,9.28,8.41,11.6
482,CAR,2013-10-13,3,Sun,5,6,@,MIN,W 35-10,20,26,6,76.9,236,3,0,11.5,0.0,143.4,1,6,3.70,9.1,8.74,11.38,10.96,11.8
483,CIN,2013-10-13,3,Sun,6,6,@,BUF,W 27-24 (OT),26,40,14,65.0,318,3,1,7.5,2.5,105.9,3,19,6.98,8.0,7.40,8.33,7.74,12.2
484,PHI,2013-10-13,3,Sun,6,6,@,TAM,W 31-20,22,31,9,71.0,287,3,0,9.7,0.0,133.3,1,9,3.13,9.3,8.97,11.19,10.84,13.0
485,STL,2013-10-13,3,Sun,6,6,@,HOU,W 38-13,12,16,4,75.0,117,3,0,18.8,0.0,134.6,0,0,0.00,7.3,7.31,11.06,11.06,9.8
486,NYJ,2013-10-07,3,Mon,5,5,@,ATL,W 30-28,16,20,4,80.0,170,3,0,15.0,0.0,147.7,4,29,16.67,8.5,7.08,11.50,9.58,10.6
487,STL,2013-09-15,3,Sun,2,2,@,ATL,L 24-31,32,55,23,58.2,352,3,1,5.5,1.8,87.8,0,0,0.00,6.4,6.40,6.67,6.67,11.0
488,SDG,2013-09-15,3,Sun,2,2,@,PHI,W 33-30,36,47,11,76.6,413,3,0,6.4,0.0,124.3,1,6,2.08,8.8,8.60,10.06,9.85,11.5
489,WAS,2013-09-15,3,Sun,2,2,@,GNB,L 20-38,26,40,14,65.0,314,3,1,7.5,2.5,104.2,1,6,2.44,7.9,7.66,8.23,8.02,12.1
490,HOU,2013-09-09,3,Mon,1,1,@,SDG,W 31-28,34,45,11,75.6,329,3,1,6.7,2.2,110.0,2,17,4.26,7.3,7.00,7.64,7.32,9.7
491,GNB,2013-09-08,3,Sun,1,1,@,SFO,L 28-34,21,37,16,56.8,322,3,1,8.1,2.7,102.6,2,11,5.13,8.7,8.26,9.11,8.64,15.3
492,BAL,2013-01-20,3,Sun,3,20,@,NWE,W 28-13,21,36,15,58.3,235,3,0,8.3,0.0,106.2,2,5,5.26,6.5,6.18,8.19,7.76,11.2
493,BAL,2013-01-12,3,Sat,2,19,@,DEN,W 38-35 (2OT),18,34,16,52.9,324,3,0,8.8,0.0,116.2,1,7,2.86,9.5,9.26,11.29,10.97,18.0
494,NOR,2012-12-23,3,Sun,15,16,@,DAL,W 34-31 (OT),37,53,16,69.8,446,3,0,5.7,0.0,114.2,0,0,0.00,8.4,8.42,9.55,9.55,12.1
495,GNB,2012-12-16,3,Sun,14,15,@,CHI,W 21-13,23,36,13,63.9,278,3,0,8.3,0.0,116.8,3,13,7.69,7.7,7.13,9.39,8.67,12.1
496,BAL,2012-12-09,3,Sun,13,14,@,WAS,L 28-31 (OT),16,21,5,76.2,173,3,1,14.3,4.8,121.4,2,9,8.70,8.2,7.52,8.95,8.17,10.8
497,SDG,2012-12-09,3,Sun,13,14,@,PIT,W 34-24,21,42,21,50.0,200,3,0,7.1,0.0,87.4,1,0,2.33,4.8,4.65,6.19,6.05,9.5
498,CAR,2012-12-02,3,Sun,12,13,@,KAN,L 21-27,15,27,12,55.6,220,3,0,11.1,0.0,121.2,2,12,6.90,8.1,7.59,10.37,9.66,14.7
499,NWE,2012-11-22,3,Thu,11,12,@,NYJ,W 49-19,18,27,9,66.7,323,3,0,11.1,0.0,144.5,0,0,0.00,12.0,11.96,14.19,14.19,17.9
500,TAM,2012-11-18,3,Sun,10,11,@,CAR,W 27-21 (OT),25,46,21,54.3,236,3,2,6.5,4.3,73.5,1,12,2.13,5.1,5.02,4.48,4.38,9.4
501,NOR,2012-11-18,3,Sun,10,11,@,OAK,W 38-17,21,28,7,75.0,229,3,0,10.7,0.0,134.4,0,0,0.00,8.2,8.18,10.32,10.32,10.9
502,ATL,2012-11-11,3,Sun,9,10,@,NOR,L 27-31,34,52,18,65.4,408,3,1,5.8,1.9,100.7,1,3,1.89,7.8,7.70,8.13,7.98,12.0
503,DET,2012-11-11,3,Sun,9,10,@,MIN,L 24-34,28,42,14,66.7,308,3,1,7.1,2.4,104.2,2,21,4.55,7.3,7.00,7.69,7.34,11.0
504,SDG,2012-11-11,3,Sun,9,10,@,TAM,L 24-34,29,37,8,78.4,323,3,2,8.1,5.4,109.1,2,14,5.13,8.7,8.28,7.92,7.51,11.1
505,CHI,2012-11-04,3,Sun,8,9,@,TEN,W 51-20,19,26,7,73.1,205,3,0,11.5,0.0,138.1,3,24,10.34,7.9,7.07,10.19,9.14,10.8
506,DEN,2012-11-04,3,Sun,8,9,@,CIN,W 31-23,27,35,8,77.1,291,3,2,8.6,5.7,105.8,0,0,0.00,8.3,8.31,7.46,7.46,10.8
507,SFO,2012-10-29,3,Mon,8,8,@,ARI,W 24-3,18,19,1,94.7,204,3,0,15.8,0.0,157.1,4,28,17.39,10.7,8.87,13.89,11.48,11.3
508,ATL,2012-10-28,3,Sun,7,8,@,PHI,W 30-17,22,29,7,75.9,246,3,0,10.3,0.0,137.4,2,16,6.45,8.5,7.94,10.55,9.87,11.2
509,TAM,2012-10-25,3,Thu,7,8,@,MIN,W 36-17,19,36,17,52.8,257,3,0,8.3,0.0,104.2,1,5,2.70,7.1,6.95,8.81,8.57,13.5
510,GNB,2012-10-21,3,Sun,7,7,@,STL,W 30-20,30,37,7,81.1,332,3,0,8.1,0.0,132.2,3,10,7.50,9.0,8.30,10.59,9.80,11.1
511,DEN,2012-10-15,3,Mon,6,6,@,SDG,W 35-24,24,30,6,80.0,309,3,1,10.0,3.3,129.0,0,0,0.00,10.3,10.30,10.80,10.80,12.9
512,CIN,2012-10-14,3,Sun,6,6,@,CLE,L 24-34,31,46,15,67.4,362,3,3,6.5,6.5,87.3,2,19,4.17,7.9,7.54,6.24,5.98,11.7
513,DEN,2012-10-07,3,Sun,5,5,@,NWE,L 21-31,31,44,13,70.5,324,3,0,6.8,0.0,115.4,2,13,4.35,7.4,7.04,8.73,8.35,10.5
514,GNB,2012-10-07,3,Sun,5,5,@,IND,L 27-30,20,32,12,62.5,207,3,1,9.4,3.1,103.0,5,28,13.51,6.5,5.59,6.94,6.00,10.4
515,NOR,2012-09-30,3,Sun,4,4,@,GNB,L 27-28,35,54,19,64.8,429,3,0,5.6,0.0,109.0,2,17,3.57,7.9,7.66,9.06,8.73,12.3
516,NWE,2012-09-30,3,Sun,4,4,@,BUF,W 52-28,22,36,14,61.1,333,3,0,8.3,0.0,120.1,1,7,2.70,9.3,9.00,10.92,10.62,15.1
517,ATL,2012-09-23,3,Sun,3,3,@,SDG,W 27-3,30,40,10,75.0,265,3,1,7.5,2.5,107.8,2,10,4.76,6.6,6.31,7.00,6.67,8.8
518,BUF,2012-09-23,3,Sun,3,3,@,CLE,W 24-14,22,35,13,62.9,206,3,0,8.6,0.0,107.8,1,2,2.78,5.9,5.72,7.60,7.39,9.4
519,DET,2012-09-23,3,Sun,3,3,@,TEN,L 41-44 (OT),43,55,12,78.2,442,3,0,5.5,0.0,118.9,1,8,1.79,8.0,7.89,9.13,8.96,10.3
520,ATL,2012-09-09,3,Sun,1,1,@,KAN,W 40-24,23,31,8,74.2,292,3,0,9.7,0.0,136.4,1,7,3.13,9.4,9.13,11.35,11.00,12.7
521,BUF,2012-09-09,3,Sun,1,1,@,NYJ,L 28-48,18,32,14,56.3,195,3,3,9.4,9.4,66.5,0,0,0.00,6.1,6.09,3.75,3.75,10.8
522,DAL,2012-09-05,3,Wed,1,1,@,NYG,W 24-17,22,29,7,75.9,290,3,1,10.3,3.4,129.5,2,17,6.45,10.0,9.35,10.52,9.84,13.2
523,NYG,2012-01-15,3,Sun,2,19,@,GNB,W 37-20,21,33,12,63.6,325,3,1,9.1,3.0,114.5,1,5,2.94,9.8,9.56,10.30,10.00,15.5
524,DET,2012-01-07,3,Sat,1,18,@,NOR,L 28-45,28,43,15,65.1,380,3,2,7.0,4.7,97.0,0,0,0.00,8.8,8.84,8.14,8.14,13.6
525,SDG,2012-01-01,3,Sun,16,17,@,OAK,W 38-26,19,26,7,73.1,310,3,1,11.5,3.8,135.1,0,0,0.00,11.9,11.92,12.50,12.50,16.3
526,MIA,2011-12-24,3,Sat,15,16,@,NWE,L 24-27,16,32,16,50.0,253,3,1,9.4,3.1,98.6,5,28,13.51,7.9,6.84,8.38,7.24,15.8
527,DAL,2011-12-17,3,Sat,14,15,@,TAM,W 31-15,23,30,7,76.7,239,3,0,10.0,0.0,133.9,2,10,6.25,8.0,7.47,9.97,9.34,10.4
528,MIN,2011-12-11,3,Sun,13,14,@,DET,L 28-34,23,44,21,52.3,156,3,3,6.8,6.8,58.8,4,43,8.33,3.5,3.25,1.84,1.69,6.8
529,NWE,2011-12-11,3,Sun,13,14,@,WAS,W 34-27,22,37,15,59.5,352,3,1,8.1,2.7,107.6,1,5,2.63,9.5,9.26,9.92,9.66,16.0
530,SDG,2011-12-05,3,Mon,12,13,@,JAX,W 38-14,22,28,6,78.6,294,3,0,10.7,0.0,146.1,0,0,0.00,10.5,10.50,12.64,12.64,13.4
531,BUF,2011-11-27,3,Sun,11,12,@,NYJ,L 24-28,26,39,13,66.7,250,3,0,7.7,0.0,111.5,3,14,7.14,6.4,5.95,7.95,7.38,9.6
532,NWE,2011-11-27,3,Sun,11,12,@,PHI,W 38-20,24,34,10,70.6,353,3,0,8.8,0.0,134.6,1,8,2.86,10.4,10.09,12.15,11.80,14.7
533,DAL,2011-11-20,3,Sun,10,11,@,WAS,W 27-24 (OT),23,37,14,62.2,264,3,0,8.1,0.0,113.8,4,28,9.76,7.1,6.44,8.76,7.90,11.5
534,ARI,2011-11-13,3,Sun,9,10,@,PHI,W 21-17,21,40,19,52.5,282,3,2,7.5,5.0,82.8,4,33,9.09,7.1,6.41,6.30,5.73,13.4
535,NWE,2011-11-13,3,Sun,9,10,@,NYJ,W 37-16,26,39,13,66.7,329,3,0,7.7,0.0,118.4,0,0,0.00,8.4,8.44,9.97,9.97,12.7
536,ATL,2011-11-06,3,Sun,8,9,@,IND,W 31-7,14,24,10,58.3,269,3,1,12.5,4.2,120.7,1,6,4.00,11.2,10.76,11.83,11.36,19.2
537,CIN,2011-11-06,3,Sun,8,9,@,TEN,W 24-17,22,39,17,56.4,210,3,0,7.7,0.0,97.9,1,7,2.50,5.4,5.25,6.92,6.75,9.5
538,MIA,2011-11-06,3,Sun,8,9,@,KAN,W 31-3,17,23,6,73.9,244,3,0,13.0,0.0,147.5,0,0,0.00,10.6,10.61,13.22,13.22,14.4
539,DET,2011-10-30,3,Sun,8,8,@,DEN,W 45-10,22,32,10,68.8,263,3,0,9.4,0.0,126.0,2,9,5.88,8.2,7.74,10.09,9.50,12.0
540,GNB,2011-10-23,3,Sun,7,7,@,MIN,W 33-27,24,30,6,80.0,307,3,0,10.0,0.0,146.5,4,28,11.76,10.2,9.03,12.23,10.79,12.8
541,PIT,2011-10-23,3,Sun,7,7,@,ARI,W 32-20,26,39,13,66.7,354,3,0,7.7,0.0,121.8,2,7,4.88,9.1,8.63,10.62,10.10,13.6
542,DEN,2011-10-02,3,Sun,4,4,@,GNB,L 23-49,22,32,10,68.8,265,3,3,9.4,9.4,87.1,1,8,3.03,8.3,8.03,5.94,5.76,12.0
543,TEN,2011-10-02,3,Sun,4,4,@,CLE,W 31-13,10,21,11,47.6,220,3,1,14.3,4.8,105.2,0,0,0.00,10.5,10.48,11.19,11.19,22.0
544,GNB,2011-09-25,3,Sun,3,3,@,CHI,W 27-17,28,38,10,73.7,292,3,1,7.9,2.6,111.4,2,5,5.00,7.7,7.30,8.08,7.68,10.4
545,HOU,2011-09-25,3,Sun,3,3,@,NOR,L 33-40,22,39,17,56.4,364,3,1,7.7,2.6,103.9,2,9,4.88,9.3,8.88,9.72,9.24,16.5
546,BAL,2011-09-25,3,Sun,3,3,@,STL,W 37-7,27,48,21,56.3,385,3,0,6.3,0.0,103.6,2,4,4.00,8.0,7.70,9.27,8.90,14.3
547,DAL,2011-09-18,3,Sun,2,2,@,SFO,W 27-24 (OT),26,43,17,60.5,427,3,2,7.0,4.7,98.2,1,5,2.27,9.9,9.70,9.23,9.02,16.4
548,DET,2011-09-11,3,Sun,1,1,@,TAM,W 27-20,24,33,9,72.7,305,3,1,9.1,3.0,118.9,0,0,0.00,9.2,9.24,9.70,9.70,12.7
549,NOR,2011-09-08,3,Thu,1,1,@,GNB,L 34-42,32,49,17,65.3,396,3,0,6.1,0.0,112.5,3,23,5.77,8.1,7.62,9.31,8.77,12.4
550,NYJ,2011-01-16,3,Sun,2,19,@,NWE,W 28-21,16,25,9,64.0,194,3,0,12.0,0.0,127.3,0,0,0.00,7.8,7.76,10.16,10.16,12.1
551,SEA,2011-01-16,3,Sun,2,19,@,CHI,L 24-35,26,46,20,56.5,242,3,0,6.5,0.0,94.3,2,16,4.17,5.3,5.04,6.57,6.29,9.3
552,GNB,2011-01-15,3,Sat,2,19,@,ATL,W 48-21,31,36,5,86.1,346,3,0,8.3,0.0,136.8,2,20,5.26,9.6,9.11,11.28,10.68,11.2
553,GNB,2011-01-09,3,Sun,1,18,@,PHI,W 21-16,18,27,9,66.7,171,3,0,11.1,0.0,122.5,2,9,6.90,6.3,5.90,8.56,7.97,9.5
554,PIT,2011-01-02,3,Sun,16,17,@,CLE,W 41-9,21,30,9,70.0,318,3,0,10.0,0.0,138.9,2,7,6.25,10.6,9.94,12.60,11.81,15.1
555,IND,2010-12-26,3,Sun,15,16,@,OAK,W 31-26,16,30,14,53.3,179,3,2,10.0,6.7,76.9,0,0,0.00,6.0,5.97,4.97,4.97,11.2
556,NWE,2010-12-26,3,Sun,15,16,@,BUF,W 34-3,15,27,12,55.6,131,3,0,11.1,0.0,107.0,1,9,3.57,4.9,4.68,7.07,6.82,8.7
557,CHI,2010-12-20,3,Mon,14,15,@,MIN,W 40-14,14,24,10,58.3,189,3,1,12.5,4.2,106.6,1,5,4.00,7.9,7.56,8.50,8.16,13.5
558,ATL,2010-12-19,3,Sun,14,15,@,SEA,W 34-18,20,35,15,57.1,168,3,1,8.6,2.9,87.1,1,6,2.78,4.8,4.67,5.23,5.08,8.4
559,GNB,2010-12-19,3,Sun,14,15,@,NWE,L 27-31,24,37,13,64.9,226,3,1,8.1,2.7,100.2,5,25,11.90,6.1,5.38,6.51,5.74,9.4
560,NOR,2010-12-19,3,Sun,14,15,@,BAL,L 24-30,29,46,17,63.0,242,3,1,6.5,2.2,91.5,3,25,6.12,5.3,4.94,5.59,5.24,8.3
561,PHI,2010-12-19,3,Sun,14,15,@,NYG,W 38-31,21,35,14,60.0,221,3,1,8.6,2.9,97.6,3,21,7.89,6.3,5.82,6.74,6.21,10.5
562,STL,2010-11-28,3,Sun,11,12,@,DEN,W 36-33,22,37,15,59.5,308,3,0,8.1,0.0,113.3,2,0,5.13,8.3,7.90,9.95,9.44,14.0
563,DAL,2010-11-14,3,Sun,9,10,@,NYG,W 33-20,13,22,9,59.1,327,3,1,13.6,4.5,124.1,0,0,0.00,14.9,14.86,15.55,15.55,25.2
564,NWE,2010-11-14,3,Sun,9,10,@,PIT,W 39-26,30,43,13,69.8,350,3,0,7.0,0.0,117.4,0,0,0.00,8.1,8.14,9.53,9.53,11.7
565,BAL,2010-11-11,3,Thu,9,10,@,ATL,L 21-26,22,34,12,64.7,204,3,1,8.8,2.9,99.5,2,11,5.56,6.0,5.67,6.44,6.08,9.3
566,NYG,2010-11-07,3,Sun,8,9,@,SEA,W 41-7,21,32,11,65.6,290,3,0,9.4,0.0,125.8,0,0,0.00,9.1,9.06,10.94,10.94,13.8
567,CIN,2010-10-24,3,Sun,6,7,@,ATL,L 32-39,36,50,14,72.0,385,3,0,6.0,0.0,116.4,3,27,5.66,7.7,7.26,8.90,8.40,10.7
568,DAL,2010-10-17,3,Sun,5,6,@,MIN,L 21-24,24,32,8,75.0,220,3,2,9.4,6.3,98.4,0,0,0.00,6.9,6.88,5.94,5.94,9.2
569,KAN,2010-10-17,3,Sun,5,6,@,HOU,L 31-35,20,29,9,69.0,189,3,0,10.3,0.0,122.9,1,12,3.33,6.5,6.30,8.59,8.30,9.5
570,NOR,2010-10-17,3,Sun,6,6,@,TAM,W 31-6,21,32,11,65.6,263,3,1,9.4,3.1,109.2,0,0,0.00,8.2,8.22,8.69,8.69,12.5
571,MIN,2010-10-11,3,Mon,4,5,@,NYJ,L 20-29,14,34,20,41.2,240,3,1,8.8,2.9,85.9,4,24,10.53,7.1,6.32,7.50,6.71,17.1
572,JAX,2010-10-10,3,Sun,5,5,@,BUF,W 36-26,16,20,4,80.0,165,3,1,15.0,5.0,122.5,2,13,9.09,8.3,7.50,9.00,8.18,10.3
573,NYG,2010-10-10,3,Sun,5,5,@,HOU,W 34-10,27,42,15,64.3,297,3,2,7.1,4.8,89.1,0,0,0.00,7.1,7.07,6.36,6.36,11.0
574,NYJ,2010-10-03,3,Sun,4,4,@,BUF,W 38-14,16,26,10,61.5,171,3,0,11.5,0.0,119.2,0,0,0.00,6.6,6.58,8.88,8.88,10.7
575,IND,2010-09-26,3,Sun,3,3,@,DEN,W 27-13,27,43,16,62.8,325,3,0,7.0,0.0,109.2,0,0,0.00,7.6,7.56,8.95,8.95,12.0
576,NYJ,2010-09-26,3,Sun,3,3,@,MIA,W 31-23,15,28,13,53.6,256,3,0,10.7,0.0,120.5,0,0,0.00,9.1,9.14,11.29,11.29,17.1
577,PHI,2010-09-26,3,Sun,3,3,@,JAX,W 28-3,17,31,14,54.8,267,3,0,9.7,0.0,119.2,3,24,8.82,8.6,7.85,10.55,9.62,15.7
578,PIT,2010-09-26,3,Sun,3,3,@,TAM,W 38-13,12,17,5,70.6,186,3,2,17.6,11.8,106.5,0,0,0.00,10.9,10.94,9.18,9.18,15.5
579,CHI,2010-09-19,3,Sun,2,2,@,DAL,W 27-20,21,29,8,72.4,270,3,0,10.3,0.0,136.7,1,7,3.33,9.3,9.00,11.38,11.00,12.9
580,HOU,2010-09-19,3,Sun,2,2,@,WAS,W 30-27 (OT),38,52,14,73.1,468,3,1,5.8,1.9,114.0,5,29,8.77,9.0,8.21,9.29,8.47,12.3
581,IND,2010-09-12,3,Sun,1,1,@,HOU,L 24-34,40,57,17,70.2,419,3,0,5.3,0.0,109.8,2,14,3.39,7.4,7.10,8.40,8.12,10.5
582,PIT,2010-01-03,3,Sun,16,17,@,MIA,W 30-24,18,28,10,64.3,201,3,1,10.7,3.6,109.2,3,19,9.68,7.2,6.48,7.71,6.97,11.2
583,CAR,2009-12-27,3,Sun,15,16,@,NYG,W 41-9,15,20,5,75.0,169,3,0,15.0,0.0,139.8,1,2,4.76,8.5,8.05,11.45,10.90,11.3
584,DEN,2009-12-27,3,Sun,15,16,@,PHI,L 27-30,27,41,14,65.9,171,3,1,7.3,2.4,90.4,3,18,6.82,4.2,3.89,4.54,4.23,6.3
585,NYG,2009-12-21,3,Mon,14,15,@,WAS,W 45-12,22,30,8,73.3,273,3,0,10.0,0.0,137.5,2,22,6.25,9.1,8.53,11.10,10.41,12.4
586,GNB,2009-12-20,3,Sun,14,15,@,PIT,L 36-37,26,48,22,54.2,376,3,0,6.3,0.0,101.3,1,7,2.04,7.8,7.67,9.08,8.90,14.5
587,NOR,2009-12-13,3,Sun,13,14,@,ATL,W 26-23,31,41,10,75.6,296,3,0,7.3,0.0,119.6,0,0,0.00,7.2,7.22,8.68,8.68,9.5
588,DAL,2009-12-06,3,Sun,12,13,@,NYG,L 24-31,41,55,14,74.5,379,3,0,5.5,0.0,112.1,2,13,3.51,6.9,6.65,7.98,7.70,9.2
589,OAK,2009-12-06,3,Sun,12,13,@,PIT,W 27-24,20,34,14,58.8,287,3,0,8.8,0.0,118.3,3,21,8.11,8.4,7.76,10.21,9.38,14.4
590,IND,2009-11-29,3,Sun,11,12,@,HOU,W 35-27,27,35,8,77.1,228,3,2,8.6,5.7,100.2,2,16,5.41,6.5,6.16,5.66,5.35,8.4
591,GNB,2009-11-26,3,Thu,11,12,@,DET,W 34-12,28,39,11,71.8,342,3,0,7.7,0.0,124.7,1,6,2.50,8.8,8.55,10.31,10.05,12.2
592,NOR,2009-11-22,3,Sun,10,11,@,TAM,W 38-7,19,29,10,65.5,187,3,0,10.3,0.0,118.0,0,0,0.00,6.4,6.45,8.52,8.52,9.8
593,PIT,2009-11-22,3,Sun,10,11,@,KAN,L 24-27 (OT),33,44,11,75.0,402,3,2,6.8,4.5,107.7,2,13,4.35,9.1,8.74,8.45,8.09,12.2
594,SFO,2009-11-22,3,Sun,10,11,@,GNB,L 24-30,16,33,17,48.5,215,3,1,9.1,3.0,88.8,3,12,8.33,6.5,5.97,6.97,6.39,13.4
595,NWE,2009-11-15,3,Sun,9,10,@,IND,L 34-35,29,42,13,69.0,364,3,1,7.1,2.4,110.7,2,11,4.55,8.7,8.27,9.02,8.61,12.6
596,PIT,2009-11-09,3,Mon,8,9,@,DEN,W 28-10,21,29,8,72.4,202,3,1,10.3,3.4,116.0,3,31,9.38,7.0,6.31,7.48,6.78,9.6
597,SDG,2009-11-08,3,Sun,8,9,@,NYG,W 21-20,24,36,12,66.7,192,3,2,8.3,5.6,86.5,2,17,5.26,5.3,5.05,4.50,4.26,8.0
598,IND,2009-10-25,3,Sun,6,7,@,STL,W 42-6,23,34,11,67.6,235,3,0,8.8,0.0,116.7,0,0,0.00,6.9,6.91,8.68,8.68,10.2
599,GNB,2009-10-25,3,Sun,6,7,@,CLE,W 31-3,16,22,6,72.7,258,3,0,13.6,0.0,151.1,0,0,0.00,11.7,11.73,14.45,14.45,16.1
600,NWE,2009-10-25,3,Sun,7,7,@,TAM,W 35-7,23,32,9,71.9,307,3,2,9.4,6.3,107.3,1,1,3.03,9.6,9.30,8.66,8.39,13.3
601,SDG,2009-10-25,3,Sun,6,7,@,KAN,W 37-7,18,30,12,60.0,268,3,0,10.0,0.0,122.6,0,0,0.00,8.9,8.93,10.93,10.93,14.9
602,NWE,2009-10-25,3,Sun,7,7,@,TAM,W 35-7,23,32,9,71.9,307,3,2,9.4,6.3,107.3,1,1,3.03,9.6,9.30,8.66,8.39,13.3
603,IND,2009-10-11,3,Sun,5,5,@,TEN,W 31-9,36,44,8,81.8,309,3,1,6.8,2.3,109.2,0,0,0.00,7.0,7.02,7.36,7.36,8.6
604,PIT,2009-10-11,3,Sun,5,5,@,DET,W 28-20,23,30,7,76.7,262,3,1,10.0,3.3,123.9,3,15,9.09,8.7,7.94,9.23,8.39,11.4
605,SDG,2009-10-04,3,Sun,4,4,@,PIT,L 28-38,21,36,15,58.3,235,3,0,8.3,0.0,107.9,3,19,7.69,6.5,6.03,8.19,7.56,11.2
606,NYG,2009-10-04,3,Sun,4,4,@,KAN,W 27-16,20,36,16,55.6,273,3,1,8.3,2.8,98.4,2,19,5.26,7.6,7.18,8.00,7.58,13.7
607,CHI,2009-09-27,3,Sun,3,3,@,SEA,W 25-19,21,27,6,77.8,233,3,1,11.1,3.7,126.4,2,14,6.90,8.6,8.03,9.19,8.55,11.1
608,CIN,2009-09-20,3,Sun,2,2,@,GNB,W 31-24,15,23,8,65.2,168,3,2,13.0,8.7,93.3,2,17,8.00,7.3,6.72,6.00,5.52,11.2
609,TAM,2009-09-20,3,Sun,2,2,@,BUF,L 20-33,26,50,24,52.0,296,3,2,6.0,4.0,73.4,2,0,3.85,5.9,5.69,5.32,5.12,11.4
610,NOR,2009-09-20,3,Sun,2,2,@,PHI,W 48-22,25,34,9,73.5,288,3,1,8.8,2.9,118.6,2,23,5.56,8.5,8.00,8.91,8.42,11.5
611,DAL,2009-09-13,3,Sun,1,1,@,TAM,W 34-21,16,27,11,59.3,344,3,0,11.1,0.0,140.6,1,9,3.57,12.7,12.29,14.96,14.43,21.5
612,CIN,2022-01-30,2,Sun,3,21,@,KAN,W 27-24 (OT),23,38,15,60.5,243,2,1,5.3,2.6,86.5,1,7,2.56,6.4,6.23,6.26,6.10,10.6
613,SFO,2022-01-30,2,Sun,3,21,@,LAR,L 17-20,16,30,14,53.3,232,2,1,6.7,3.3,87.1,0,0,0.00,7.7,7.73,7.57,7.57,14.5
614,LAR,2022-01-23,2,Sun,2,20,@,TAM,W 30-27,28,38,10,73.7,355,2,0,5.3,0.0,121.2,2,11,5.00,9.3,8.88,10.39,9.88,12.7
