Rk,Team,Date,TD,Day,G#,Week,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C
146,WAS,2012-11-22,4,Thu,11,12,@,DAL,W 38-31,19,27,8,70.4,288,4,1,14.8,3.7,131.8,3,16,10.00,10.7,9.60,11.96,10.77,15.2
147,JAX,2012-11-18,4,Sun,10,11,@,HOU,L 37-43 (OT),18,35,17,51.4,372,4,0,11.4,0.0,128.0,2,6,5.41,10.6,10.05,12.91,12.22,20.7
148,NWE,2012-10-28,4,Sun,8,8,@,STL,W 45-7,24,38,14,63.2,321,4,0,10.5,0.0,125.0,0,0,0.00,8.4,8.45,10.55,10.55,13.4
149,NOR,2012-10-21,4,Sun,6,7,@,TAM,W 35-28,27,37,10,73.0,377,4,1,10.8,2.7,130.1,0,0,0.00,10.2,10.19,11.14,11.14,14.0
150,HOU,2012-09-23,4,Sun,3,3,@,DEN,W 31-25,17,30,13,56.7,284,4,1,13.3,3.3,115.3,1,6,3.23,9.5,9.16,10.63,10.29,16.7
151,CIN,2012-09-23,4,Sun,3,3,@,WAS,W 38-31,20,28,8,71.4,385,4,1,14.3,3.6,138.4,2,16,6.67,13.8,12.83,15.00,14.00,19.3
152,PIT,2012-09-23,4,Sun,3,3,@,OAK,L 31-34,36,49,13,73.5,379,4,0,8.2,0.0,123.2,1,5,2.00,7.7,7.58,9.37,9.18,10.5
153,NOR,2012-01-14,4,Sat,2,19,@,SFO,L 32-36,40,63,23,63.5,435,4,2,6.3,3.2,93.5,3,27,4.55,6.9,6.59,6.75,6.44,10.9
154,DET,2011-12-18,4,Sun,14,15,@,OAK,W 28-27,29,52,23,55.8,375,4,0,7.7,0.0,105.5,2,16,3.70,7.2,6.94,8.75,8.43,12.9
155,ATL,2011-12-11,4,Sun,13,14,@,CAR,W 31-23,22,38,16,57.9,308,4,0,10.5,0.0,120.5,3,12,7.32,8.1,7.51,10.21,9.46,14.0
156,GNB,2011-12-04,4,Sun,12,13,@,NYG,W 38-35,28,47,19,59.6,360,4,1,8.5,2.1,103.9,2,9,4.08,7.7,7.35,8.40,8.06,12.9
157,GNB,2011-11-06,4,Sun,8,9,@,SDG,W 45-38,21,26,5,80.8,232,4,0,15.4,0.0,145.8,4,15,13.33,8.9,7.73,12.00,10.40,11.0
158,KAN,2011-10-09,4,Sun,5,5,@,IND,W 28-24,21,29,8,72.4,242,4,0,13.8,0.0,138.9,2,15,6.45,8.3,7.81,11.10,10.39,11.5
159,NWE,2011-09-25,4,Sun,3,3,@,BUF,L 31-34,30,45,15,66.7,387,4,4,8.9,8.9,86.1,0,0,0.00,8.6,8.60,6.38,6.38,12.9
160,NYG,2011-09-25,4,Sun,3,3,@,PHI,W 29-16,16,23,7,69.6,232,4,0,17.4,0.0,145.7,3,22,11.54,10.1,8.92,13.57,12.00,14.5
161,NWE,2011-09-12,4,Mon,1,1,@,MIA,W 38-24,32,48,16,66.7,516,4,1,8.3,2.1,121.6,1,1,2.04,10.8,10.53,11.48,11.24,16.1
162,BUF,2011-09-11,4,Sun,1,1,@,KAN,W 41-7,17,26,9,65.4,201,4,1,15.4,3.8,113.5,1,7,3.70,7.7,7.44,9.08,8.74,11.8
163,WAS,2010-12-19,4,Sun,14,15,@,DAL,L 30-33,25,43,18,58.1,286,4,2,9.3,4.7,93.4,5,36,10.42,6.7,5.96,6.42,5.75,11.4
164,KAN,2010-11-28,4,Sun,11,12,@,SEA,W 42-24,22,32,10,68.8,233,4,0,12.5,0.0,129.3,0,0,0.00,7.3,7.28,9.78,9.78,10.6
165,NWE,2010-11-25,4,Thu,11,12,@,DET,W 45-24,21,27,6,77.8,338,4,0,14.8,0.0,158.3,1,3,3.57,12.5,12.07,15.48,14.93,16.1
166,IND,2010-11-21,4,Sun,10,11,@,NWE,L 28-31,38,52,14,73.1,396,4,3,7.7,5.8,96.3,0,0,0.00,7.6,7.62,6.56,6.56,10.4
167,GNB,2010-11-21,4,Sun,10,11,@,MIN,W 31-3,23,32,9,71.9,283,4,0,12.5,0.0,141.4,3,23,8.57,8.8,8.09,11.34,10.37,12.3
168,BUF,2010-11-21,4,Sun,10,11,@,CIN,W 49-31,21,34,13,61.8,308,4,2,11.8,5.9,107.0,1,8,2.86,9.1,8.80,8.76,8.51,14.7
169,PHI,2010-11-15,4,Mon,9,10,@,WAS,W 59-28,20,28,8,71.4,332,4,0,14.3,0.0,150.7,1,1,3.45,11.9,11.45,14.71,14.21,16.6
170,KAN,2010-11-14,4,Sun,9,10,@,DEN,L 29-49,33,53,20,62.3,433,4,0,7.5,0.0,116.0,4,36,7.02,8.2,7.60,9.68,9.00,13.1
171,SDG,2010-11-07,4,Sun,9,9,@,HOU,W 29-23,17,23,6,73.9,290,4,1,17.4,4.3,137.2,1,5,4.17,12.6,12.08,14.13,13.54,17.1
172,JAX,2010-10-31,4,Sun,8,8,@,DAL,W 35-17,17,21,4,81.0,238,4,0,19.0,0.0,157.8,3,22,12.50,11.3,9.92,15.14,13.25,14.0
173,NYG,2010-10-25,4,Mon,7,7,@,DAL,W 41-35,25,35,10,71.4,297,4,3,11.4,8.6,100.4,1,9,2.78,8.5,8.25,6.91,6.72,11.9
174,BUF,2010-10-24,4,Sun,6,7,@,BAL,L 34-37 (OT),29,43,14,67.4,382,4,2,9.3,4.7,106.9,1,0,2.27,8.9,8.68,8.65,8.45,13.2
175,GNB,2010-01-10,4,Sun,1,18,@,ARI,L 45-51 (OT),28,42,14,66.7,404,4,1,9.5,2.4,121.4,5,19,10.64,9.6,8.60,10.45,9.34,14.4
176,CHI,2010-01-03,4,Sun,16,17,@,DET,W 37-23,22,36,14,61.1,268,4,0,11.1,0.0,122.0,2,8,5.26,7.4,7.05,9.67,9.16,12.2
