1,NY Giants,8.6,10.3,3,7.3,9.9,6.1
2,Pittsburgh,8.4,5.7,3,9.8,7.3,9.4
3,New England,7.9,4,6,9.1,6.7,7.1
4,Chicago,7.8,10,10,5.4,10.1,6.4
5,Green Bay,7.7,9.3,7,7.6,7.7,5.8
6,Jacksonville,7.6,2.7,0,7.6,7.6,5.3
7,Kansas City,7.3,5.7,7,2.9,10.2,6.8
8,Cincinnati,7.3,7.3,16,8.2,6.3,5.5
9,Denver,7.3,7.3,8,7.5,7,6.6
10,Houston,7.2,3.3,0,4,10.9,6.5
11,Baltimore,7.2,4.7,7,7.8,6.6,8.8
12,Seattle,7.1,6.7,10,8.3,6.1,8.1
13,Arizona,7,6,8,6.6,7.4,6.1
13,Buffalo,7,6,3,7.8,6.3,6.7
15,NY Jets,6.9,4.3,0,7.6,6.3,3.9
16,Washington,6.8,5,0,6,7.6,4.6
17,Detroit,6.7,7.7,7,6.3,7.1,6.1
18,Indianapolis,6.6,2,3,5.3,8,6
18,Atlanta,6.6,4,0,6,7.3,5.7
20,LA Chargers,6.6,5.7,7,8.6,4.5,5.4
21,New Orleans,6.4,9,3,10.1,2.8,9.3
22,Carolina,6.1,6,3,5.8,6.4,6.8
23,Philadelphia,6.1,7,7,6.1,6,6.2
24,Minnesota,6.1,5.7,0,4.9,7.4,6.3
25,Dallas,5.9,4,9,6.3,5.5,7.2
26,Tampa Bay,5.6,8,0,6.8,4.5,6.4
27,Cleveland,5.4,3,3,6.3,4.6,4.8
28,Miami,5.2,6.7,10,3.1,6.8,5.6
29,Las Vegas,4.9,5,7,4.3,5.5,5.4
30,Tennessee,4.4,6.3,7,5.4,3.5,2.9
31,San Francisco,4.3,3.3,3,3.3,5.4,2.1
32,LA Rams,3.2,3.3,0,4.3,2.1,5.2
