1,New England,11.4,15,13,11.8,11,9.5
2,Denver,10.9,5.3,6,11.2,10.5,9
3,Tennessee,9.3,9,3,11.9,6.8,5.9
4,Chicago,8.3,9.3,7,6.9,9.6,6.9
5,LA Chargers,7.9,12.3,17,6,9.4,5.1
6,Dallas,7.8,7.7,6,8.9,6.8,10.1
7,Philadelphia,7.8,12.7,10,9.6,5.8,4.9
8,Detroit,7.6,6.7,6,8.6,6.5,9.1
9,Green Bay,7.5,11,10,7.2,7.9,7.9
10,Seattle,7.3,8,10,9.2,5,7.3
11,Baltimore,7.2,4.3,0,7.8,6.6,6.8
12,Arizona,7,12.7,13,8,6,4.7
13,New Orleans,6.9,9.3,15,8,6,5.8
14,Minnesota,6.9,9.3,7,9.7,4.7,5.6
15,San Francisco,6.8,4.3,0,8,6,8.4
16,Pittsburgh,6.8,3.3,3,5.8,7.8,5.7
17,Cincinnati,6.7,5.7,0,7.9,5.4,6.7
18,Kansas City,6.5,1,3,5.9,7.1,4.3
19,LA Rams,6.3,4,6,7.9,4.6,6.4
20,Indianapolis,6.2,5.7,0,5.3,7.1,4.8
21,Carolina,5.9,2.3,0,6.4,5.4,5.8
22,Atlanta,5.8,6.7,3,5.9,5.8,7.3
23,Buffalo,5.5,8.7,10,5.4,5.6,4.4
24,Washington,5.3,3,0,5.4,5.3,7.1
25,Cleveland,4.8,5.7,7,5.6,3.9,5.9
26,NY Giants,4.7,3.3,3,4.3,5.1,7.3
27,NY Jets,4.6,9,6,4.6,4.6,5.3
28,Las Vegas,4.2,5.7,14,4.6,3.8,6.8
28,Miami,4.2,4.7,0,4.6,3.8,4.8
30,Jacksonville,3.8,4.7,7,1.4,5.7,5.5
31,Houston,3.8,1,3,3.8,3.8,5.1
32,Tampa Bay,3.1,2.3,0,4.3,2,7.8
